date,acc1,acc2,vni,vn30
2020-12-28,0,0,1091.33,1054.23
2020-12-29,998349,0,1099.49,1058.39
2020-12-30,4970862,0,1097.54,1059.16
2020-12-31,25049818,0,1103.87,1070.77
2021-01-01,25049818,0,1103.87,1070.77
2021-01-02,25049818,0,1103.87,1070.77
2021-01-03,25049818,0,1103.87,1070.77
2021-01-04,25319834,0,1120.47,1091.87
2021-01-05,26558841,0,1132.55,1104.3
2021-01-06,26581996,0,1143.21,1113.72
2021-01-07,26594069,0,1156.49,1130.59
2021-01-08,12633806,0,1167.69,1147.86
2021-01-09,12633806,0,1167.69,1147.86
2021-01-10,12633806,0,1167.69,1147.86
2021-01-11,12829848,0,1184.89,1163.4
2021-01-12,12968658,0,1192.28,1169.03
2021-01-13,12863478,0,1186.05,1164.57
2021-01-14,12858654,0,1187.4,1168.99
2021-01-15,12968658,0,1194.2,1182.2
2021-01-16,12968658,0,1194.2,1182.2
2021-01-17,12968658,0,1194.2,1182.2
2021-01-18,12913705,0,1191.94,1173.34
2021-01-19,12418718,0,1131,1107.32
2021-01-20,12493731,0,1134.68,1116.21
2021-01-21,12718744,0,1164.21,1151.3
2021-01-22,12763748,0,1166.78,1156.58
2021-01-23,12763748,0,1166.78,1156.58
2021-01-24,12763748,0,1166.78,1156.58
2021-01-25,12746881,0,1166.05,1154.29
2021-01-26,12350883,0,1136.12,1125.09
2021-01-27,12140884,0,1097.17,1083.63
2021-01-28,11372885,0,1023.94,1010.75
2021-01-29,14176698,0,1056.61,1048.31
2021-01-30,14176698,0,1056.61,1048.31
2021-01-31,14176698,0,1056.61,1048.31
2021-02-01,19468732,0,1035.51,1029.86
2021-02-02,20126726,0,1075.53,1079.7
2021-02-03,20760718,0,1111.29,1117.98
2021-02-04,20680710,0,1112.19,1117.74
2021-02-05,21392682,0,1126.91,1135.5
2021-02-06,21392682,0,1126.91,1135.5
2021-02-07,21392682,0,1126.91,1135.5
2021-02-08,20447676,0,1083.18,1092.59
2021-02-09,21376598,0,1114.93,1129.49
2021-02-10,21376598,0,1114.93,1129.49
2021-02-11,21376598,0,1114.93,1129.49
2021-02-12,21376598,0,1114.93,1129.49
2021-02-13,21376598,0,1114.93,1129.49
2021-02-14,21376598,0,1114.93,1129.49
2021-02-15,21376598,0,1114.93,1129.49
2021-02-16,21376598,0,1114.93,1129.49
2021-02-17,21750597,0,1155.78,1174.91
2021-02-18,21953589,0,1174.38,1187.94
2021-02-19,21977561,0,1173.5,1180.59
2021-02-20,21977561,0,1173.5,1180.59
2021-02-21,21977561,0,1173.5,1180.59
2021-02-22,29848598,0,1175.04,1180.55
2021-02-23,29808770,0,1177.64,1182.47
2021-02-24,29458762,0,1162.01,1167.18
2021-02-25,29601750,0,1165.43,1169.82
2021-02-26,29648713,0,1168.47,1173.6
2021-02-27,29648713,0,1168.47,1173.6
2021-02-28,29648713,0,1168.47,1173.6
2021-03-01,30157701,0,1186.17,1191.83
2021-03-02,30185689,0,1186.61,1194.71
2021-03-03,30230677,0,1186.95,1195.6
2021-03-04,30262665,0,1168.52,1174.29
2021-03-05,29680626,0,1168.69,1173.83
2021-03-06,29680626,0,1168.69,1173.83
2021-03-07,29680626,0,1168.69,1173.83
2021-03-08,29546616,0,1168.27,1170
2021-03-09,29510604,0,1161.97,1163
2021-03-10,29587592,0,1170.08,1172.26
2021-03-11,30077580,0,1181.73,1188.71
2021-03-12,29999541,0,1181.56,1187.81
2021-03-13,29999541,0,1181.56,1187.81
2021-03-14,29999541,0,1181.56,1187.81
2021-03-15,55147668,0,1184.56,1190.86
2021-03-16,55329984,0,1179.9,1187.84
2021-03-17,55638000,0,1186.09,1193.45
2021-03-18,56231007,0,1200.94,1211.54
2021-03-19,56190969,0,1194.05,1203.36
2021-03-20,56190969,0,1194.05,1203.36
2021-03-21,56190969,0,1194.05,1203.36
2021-03-22,67049095,0,1194.43,1198.54
2021-03-23,66486163,0,1183.45,1186.98
2021-03-24,65685323,0,1161.81,1165.61
2021-03-25,65163303,0,1163.1,1164.64
2021-03-26,65136216,0,1162.21,1167.19
2021-03-27,65136216,0,1162.21,1167.19
2021-03-28,65136216,0,1162.21,1167.19
2021-03-29,66096193,0,1175.68,1180.07
2021-03-30,65979166,0,1186.36,1190.86
2021-03-31,66261139,0,1191.44,1196.24
